hotel_names,hotel_ratings,hotel_price,hotel_neighbourhoods,hotel_reviews,hotel_type
The Hoxton - Shoreditch,4.5,££,Liverpool Street / Broadgate,187,HotelsVenues & Event Spaces
London Marriott Hotel Park Lane,4.5,£££,Mayfair,45,HotelsVenues & Event Spaces
DoubleTree by Hilton Hotel London - Hyde Park,4,££,Notting Hill,35,Hotels
Savoy Hotel,4.5,££££,Strand,96,Hotels
The Z Hotel Piccadilly,4.5,££,Trafalgar Square,11,Hotels
The Ritz London,4,££££,St James's,205,Hotels
The Soho Hotel,4,£££,Soho,51,Hotels
Hotel 41,5,££££,Westminster,29,Hotels
Kimpton Fitzroy London,4.5,£££,Bloomsbury,10,Hotels
Hub Premier Inn,4.5,£,Westminster,11,Hotels
The Kensington Hotel,4.5,£££,South Kensington,46,Hotels
The Fielding,4.5,££,Covent Garden,8,Hotels
"The Hoxton, Holborn",4,££,Covent Garden,45,Hotels
London Marriott Hotel County Hall,4,£££,Southwark,107,Hotels
Conrad London St. James,4.5,£££,Westminster,70,Hotels
The Dorchester,4.5,££££,Mayfair,117,Hotels
CitizenM Hotel,4.5,££,Southwark,79,Hotels
Claridge’s,4.5,££££,Mayfair,110,Hotels
The London EDITION,4.5,£££,Fitzrovia,46,Hotels
St. Pancras Renaissance Hotel London,4,£££,King's Cross,82,HotelsVenues & Event Spaces
The Langham London,4.5,££££,Marylebone,76,Hotels
The Landmark London,4.5,££££,Marylebone,61,Hotels
Ham Yard Hotel,4.5,£££,Soho,30,Hotels
K+K Hotel George,4.5,££,Earls Court,54,Hotels
Mimi’s Hotel Soho,4,££,Soho,9,Hotels
Crescent Hotel,4.5,£,Bloomsbury,6,Hotels
Sofitel,4.5,£££,St James's,49,Hotels
JW Marriott Grosvenor House London,4,£££,Mayfair,109,HotelsVenues & Event Spaces
Afternoon Tea at The Montague on The Gardens,4.5,£££,Bloomsbury,58,Hotels
London Marriott Hotel Regents Park,3.5,££,Belsize Park,35,Hotels
Four Seasons Hotel,4.5,££££,Mayfair,29,Hotels
Shangri La Hotel,4.5,££££,London Bridge,32,Hotels
The W14 Kensington,4,£,West Kensington,10,Hotels
The Ampersand Hotel,4.5,£££,South Kensington,47,Hotels
Hotel Chocolat,4.5,££,Covent Garden,58,Chocolatiers & ShopsCoffee & Tea
Hotel Indigo,4.5,££,Paddington,33,Hotels
Yotel,4,££,Heathrow,41,Hotels
Hotel Indigo,4.5,,Leicester Square,2,HotelsLeicester Square
Morgan Hotel,5,££,Bloomsbury,2,Hotels
The Kensington Gardens Hotel,4.5,£,Bayswater,2,HotelsBed & Breakfast
Holiday Inn London Camden Lock,4,£££,Camden Town,16,Hotels
69TheGrove,5,,Oval,2,Bed & BreakfastOval
The Cavendish,4.5,£££,St James's,34,Hotels
Club Quarters,4,££,Westminster,43,Hotels
W London- Leicester Square,3,£££,Leicester Square,114,Hotels
The Connaught,4.5,££££,Mayfair,32,Hotels
Andaz London Liverpool Street,4.5,£££,Liverpool Street / Broadgate,88,Hotels
Corinthia Hotel London,4.5,££££,Westminster,67,Hotels
The Royal Horseguards Hotel,4,£££,Westminster,78,Hotels
The Nadler Soho,4.5,£££,Soho,19,Hotels
DoubleTree by Hilton Hotel London - Tower of London,4,£££,Aldgate,72,Hotels
Rosewood London,4,££££,Holborn,37,Hotels
"Hotel Xenia, Autograph Collection",4.5,££,Kensington,28,Hotels
The Bailey’s Hotel London,3.5,££,South Kensington,45,Hotels
Hub By Premier Inn,4,££,Strand,8,Hotels
"St. Ermin’s Hotel, Autograph Collection",4,£££,Westminster,124,HotelsVenues & Event Spaces
Hyatt Regency London - The Churchill,4.5,£££,Marylebone,70,Hotels
"The Waldorf Hilton, London",3.5,£££,Strand,101,Hotels
The Nadler Kensington,4.5,££,South Kensington,36,Hotels
The Hoxton,5,,Southwark,2,HotelsSouthwark
"The Trafalgar St. James, Curio Collection by Hilton",3.5,£££,St James's,52,Hotels
Hilton London Hyde Park,3,££,Bayswater,38,Hotels
The Shaftesbury,4,,Soho,1,PubsBritishHotelsSoho
The Lanesborough,4.5,££££,Belgravia,47,Hotels
Hub by Premier Inn,4.5,,King's Cross,4,HotelsKing's Cross
"The Westminster London, Curio Collection by Hilton",4,,Westminster,1,HotelsWestminster
Holiday Inn London - Kensington,2.5,£££,Kensington,74,Hotels
Hilton London Paddington,3,£££,Paddington,98,HotelsVenues & Event Spaces
The Marylebone Hotel,4,£££,Marylebone,35,Hotels
The Sumner Hotel,4,££,Marylebone,11,Hotels
Henrietta,4,,Strand,5,HotelsStrand
Mandarin Oriental,4.5,££££,Hyde Park,36,Hotels
The Grand at Trafalgar Square,4,££,Westminster,97,Hotels
The Rookery,4,£££,Farringdon,11,Hotels
Mile End Hotel,5,,Mile End / Globe Town,1,HotelsMile End / Globe Town
The Beaumont,4.5,£££,Mayfair,8,Hotels
LSE High Holborn Residence,4,£,Covent Garden,8,Hotels
Travelodge,3,£,Liverpool Street / Broadgate,18,Hotels
Limetree Hotel,4,££,Belgravia,14,Hotels
London Marriott Hotel Marble Arch,3,£££,Marylebone,47,Hotels
Great Scotland Yard Hotel,4,,Westminster,5,HotelsWestminster
THE CHESTERFIELD MAYFAIR,4.5,£££,Mayfair,58,Hotels
Residence Inn by Marriott,4,££,Borough,13,Hotels
Sanctum Soho,3.5,£££,Soho,23,Hotels
Hilton London Bankside,4.5,£££,Southwark,24,Hotels
The Athenaeum Hotel,4,£££,Mayfair,53,Hotels
Bankside Hotel,5,,Southwark,9,HotelsSouthwark
H10 Hotel,4.5,££,Southwark,31,Hotels
Citadines St Mark’s London,4,£££,Barbican,6,Hotels
Charlies Hotel,4,£,Holloway,2,HotelsBed & Breakfast
Charlies Hotel,4,£,Holloway,2,HotelsBed & Breakfast
Citadines St Mark’s London,4,£££,Barbican,6,Hotels
The Stafford London,5,££££,St James's,8,Hotels
Four Seasons Hotel,3.5,££££,Tower Hill,5,Hotels
DORSETT,4,££,Shepherd's Bush,24,Hotels
Hilton London Tower Bridge,4,£££,London Bridge,47,Hotels
Leonardo Royal Hotel London Tower Bridge,4,,Whitechapel,5,HotelsWhitechapel
St. James’s,4.5,££££,St James's,15,Hotels
Cote Marylebone,5,£££,Marylebone,1,Hotels
citizenM Tower of London,4,££,Tower Hill,27,Hotels
Camden Lock Hotel,2.5,££,Chalk Farm,7,Hotels
The California,3.5,£,Bloomsbury,9,Hotels
London Marriott Hotel Kensington,3,£££,South Kensington,24,Hotels
The Bloomsbury Hotel,4,££££,Bloomsbury,41,Hotels
The Caesar Hotel 4,4,££,Bayswater,22,Hotels
Sea Containers London,5,,South Bank,4,HotelsSouth Bank
The Goring,4.5,££££,Victoria,35,Hotels
Country Inns & Suites,1.5,£££,Bloomsbury,5,Hotels
Mercure London Hyde Park Hotel,5,,Paddington,1,HotelsPaddington
"The Standard, London",4.5,,Bloomsbury,4,HotelsBloomsbury
40 Winks,4.5,£££,Stepney,3,HotelsVenues & Event Spaces
Haverstock Hotel,5,,Belsize Park,1,HotelsBelsize Park
Hilton Garden Inn London Heathrow Terminals 2 and 3,4,,Heathrow,15,HotelsHeathrow
Sheraton Grand London Park Lane,3.5,£££,Green Park,108,Hotels
Hazlitts Hotels,4.5,£££,Soho,28,Hotels
myhotel,4,££,Chelsea,10,Hotels
DoubleTree by Hilton Hotel London - Docklands Riverside,3,£££,Rotherhithe,8,Hotels
Sanderson Hotel,4,£££,Fitzrovia,107,Hotels
Seven Dials Hotel,4,,Covent Garden,6,Bed & BreakfastCovent Garden
Premier Inn,4,,Bloomsbury,2,HotelsBloomsbury
11 Cadogan Gardens,4.5,££,Chelsea,11,Hotels
