pub_names,pub_ratings,pub_price,pub_neighbourhoods,pub_reviews,pub_type
The Harp,4.5,£,Strand,138,Pubs
The Queen’s Head,4.5,££,Soho,48,Pubs
The Victoria,4.5,££,Paddington,226,PubsBritish
The Queens Arms,4.5,££,Victoria,123,BritishPubsGastropubs
Mother Mash,4,££,Soho,471,British
The Monkey Puzzle,4.5,££,Paddington,52,Pubs
BrewDog,4.5,££,Soho,40,Bars
Coach and Horses,4,££,Mayfair,27,Pubs
The Grazing Goat Marylebone,4,££,Marylebone,243,GastropubsBritish
The Kings Head,5,,Marylebone,5,BarsMarylebone
Dog & Duck,4,££,Soho,52,Pubs
Carpenters Arms,4,££,Marylebone,17,Pubs
The Swan,4,££,Bayswater,116,PubsBritish
The Shaftesbury,4,,Soho,1,PubsBritishHotelsSoho
Waxy O’Connor’s,4,££,Leicester Square,168,Irish PubIrishBritish
Ye Olde Cheshire Cheese,4,££,Blackfriars,357,PubsBritish
Philomena’s Bar and Cafe,4.5,££,Covent Garden,16,PubsSports Bars
The Lyric,4.5,££,Soho,43,Bars
The Churchill Arms,4,££,Notting Hill,358,PubsThai
Ye Olde Mitre Inn,4.5,££,Farringdon,64,Pubs
The Toucan,4,££,Soho,38,PubsIrish
The Knights Templar,4,£,Holborn,44,Pubs
Cahoots Bar,4.5,££,Soho,107,Bars
Kings Arms,4,£,Soho,16,PubsGay Bars
The Cockpit,4.5,£,Blackfriars,20,Pubs
Lord Nelson,4.5,££,Southwark,55,Pubs
The Ordnance,4.5,£,St John's Wood,10,Pubs
Hawksmoor Seven Dials,4.5,£££,Covent Garden,353,BritishSteakhousesCocktail Bars
The Grafton Arms,4.5,££,Fitzrovia,18,Pubs
The Kings Arms,4,££,Mayfair,48,PubsBritish
The Windsor Castle,4.5,££,Westminster,16,Pubs
The Windmill,4,££,Mayfair,95,PubsBritish
The Marylebone,4,££,Marylebone,41,Pubs
Fox & Hounds,4,££,Belgravia,7,Pubs
The Red Lion,4,££,Westminster,77,Pubs
The Red Lion,4,££,St James's,31,Pubs
The Footman,4,££,Mayfair,70,PubsSandwichesWine Bars
The Harwood Arms,4.5,£££,West Brompton,127,GastropubsBritish
The Cock & Bottle,4.5,££,Notting Hill,20,Pubs
The Grenadier,4,££,Belgravia,187,Pubs
Lamb & Flag,4,££,Covent Garden,140,Pubs
The Craft Beer Co,4.5,££,Covent Garden,48,Pubs
The Blackbird,4,££,South Kensington,158,PubsBritishBreakfast & Brunch
The King’s Head,4,££,Mayfair,21,Pubs
The Churchill Bar & Terrace,4.5,££££,Marylebone,7,Modern EuropeanCocktail Bars
The Cavendish,3.5,££,Marylebone,3,Gastropubs
The Queen’s Arms,4,££,Knightsbridge,129,PubsBritish
The Cock Tavern,4,££,Fitzrovia,32,Pubs
The Crown,4,££,Soho,20,Pubs
The Coach Makers Arms Marylebone,3.5,£££,Marylebone,23,BritishPubs
Anchor Tap,4,£,Shad Thames,32,Pubs
The Black Heart,4,££,Camden Town,32,Pubs
The Coach & Horses,4,££,Bloomsbury,86,Pubs
The Pig and Butcher,4.5,££,Islington,112,BritishGastropubs
Fountains Abbey,3.5,££,Paddington,36,Pubs
The Coach Makers Arms Marylebone,3.5,£££,Marylebone,23,BritishPubs
Duke Of Wellington,4,££,Soho,36,PubsGay Bars
Prospect Of Whitby,4,££,Shadwell,56,Pubs
The Beehive,4,££,Marylebone,27,Gastropubs
The Punchbowl,4,££,Mayfair,78,Pubs
Heist Bank,4.5,,Paddington,8,BarsPizzaGastropubsPaddington
Maggie Jones’s,4.5,£££,Kensington,120,British
Berners Tavern,4.5,£££,Fitzrovia,121,BritishPubs
Connaught Bar,4.5,££££,Mayfair,68,Bars
The Colonel Fawcett,4.5,££,Camden Town,27,Gastropubs
Princess of Wales,4,££,Primrose Hill,34,PubsBritishVenues & Event Spaces
THE DUKE OF YORK,4,££,Marylebone,8,PubsGastropubs
Pieminister,4,£,South Bank,89,British
Crocker’s Folly,4.5,£££,Lisson Grove,17,BarsLebanese
Mr Fogg’s Society of Exploration,5,,Strand,16,Cocktail BarsStrand
Crocker’s Folly,4.5,£££,Lisson Grove,17,BarsLebanese
The Library Bar,5,£££,Belgravia,14,Wine BarsLounges
Sussex Arms,3.5,££,Paddington,13,Sports BarsPubs
Spread Eagle,3.5,££,Camden Town,31,Pubs
The Barley Mow,3.5,££,Mayfair,23,Pubs
CASK Pub and Kitchen,4.5,££,Pimlico,139,PubsGastropubs
O’Neill’s,3.5,££,Chinatown,85,Sports BarsItalian
The Cock and Lion,3.5,£,Marylebone,15,Pubs
Cleveland Arms,5,££,Bayswater,9,Pubs
The Grapes,4,££,Poplar,53,Pubs
The Wigmore,4.5,,Marylebone,5,PubsMarylebone
Red Lion,4,££,St James's,17,Pubs
The Nag’s Head,4,££,Belgravia,42,Pubs
The Hawley Arms,4,££,Camden Town,84,Pubs
The World’s End,3.5,££,Camden Town,114,Pubs
Red Lion,3.5,££,Soho,17,Pubs
Ship Tavern,4,££,Holborn,94,Pubs
The Ivy,4,£££,Covent Garden,174,BritishModern European
The Running Horse,4,££,Mayfair,16,Pubs
Elephants Head,3.5,££,Camden Town,59,Pubs
